source,brand,month,season_code,account,gender,category,sub_category,sub2,item_keyword,item_display,silhouette,wash,material_hints,dominant_colors,pattern,trend_strength,details,visibility_score,confidence,images,dedup_hash,schema_version,v2_category,base_garment,attributes,trend_tags,legacy_sub2,visibility_axes,raw_visual_terms,needs_review,review_reasons,garment_id
instagram,HYPE STREET,2025-09,2526FW,39.cho,Men,ACC,,Other Accessory,Other Accessory,Other Accessory,,,[],"[""Gray""]",,5,{},10,100,"[{""thumbUrl"": ""https://raw.githubusercontent.com/consumerfnf-eng/sns_trend_intelligence/main/thumbs/39.cho_20250918_0.jpg"", ""fullUrl"": """", ""filename"": ""39.cho_20250918_0.jpg"", ""account"": ""39.cho"", ""localPath"": ""Instagram_mlb_2526fw\\39.cho_20250918_0.jpg""}]",dcd834316c271fd8_1,2.0.0,Accessory,Other Accessory,"{""color_family"": ""Gray""}",[],Other Accessory,"{""overall"": 1.0, ""shoulder_area"": ""Not Observable"", ""neckline"": ""Not Observable"", ""waistline"": ""Not Observable"", ""full_leg"": ""Not Observable"", ""hem"": ""Not Observable""}","[""over-ear headphones"", ""silver headphones""]",,[],g2
instagram,HYPE STREET,2025-09,2526FW,39.cho,Men,Bag,Shoulder Bag,Bowling Bag,Bag,Bag,,,[],"[""Brown""]",,5,"{""bag_type"": ""Bowling"", ""bag_size"": ""Small"", ""bag_structure"": ""Semi-structured"", ""bag_orientation"": ""East-West"", ""bag_closure"": ""Zipper"", ""strap_style"": ""Top Handle"", ""carry_method"": [""Handheld""]}",10,100,"[{""thumbUrl"": ""https://raw.githubusercontent.com/consumerfnf-eng/sns_trend_intelligence/main/thumbs/39.cho_20250918_0.jpg"", ""fullUrl"": """", ""filename"": ""39.cho_20250918_0.jpg"", ""account"": ""39.cho"", ""localPath"": ""Instagram_mlb_2526fw\\39.cho_20250918_0.jpg""}]",dcd834316c271fd8_5,2.0.0,Bag,Bag,"{""bag_type"": ""Bowling"", ""color_family"": ""Brown"", ""carry_methods"": [""Handheld""], ""bag_size"": ""Small"", ""bag_structure"": ""Semi-structured"", ""bag_orientation"": ""East-West"", ""bag_closure"": ""Zipper"", ""strap_style"": ""Top Handle""}","[""bowling bag""]",Bowling Bag,"{""overall"": 1.0, ""shoulder_area"": ""Not Observable"", ""neckline"": ""Not Observable"", ""waistline"": ""Not Observable"", ""full_leg"": ""Not Observable"", ""hem"": ""Not Observable""}","[""brown bowling bag"", ""orange accents"", ""small handbag""]",,[],g6
instagram,HYPE STREET,2025-09,2526FW,39.cho,Men,ACC,,Other Accessory,Other Accessory,Other Accessory,,,[],"[""Metallic""]",,5,{},10,100,"[{""thumbUrl"": ""https://raw.githubusercontent.com/consumerfnf-eng/sns_trend_intelligence/main/thumbs/39.cho_20250918_0.jpg"", ""fullUrl"": """", ""filename"": ""39.cho_20250918_0.jpg"", ""account"": ""39.cho"", ""localPath"": ""Instagram_mlb_2526fw\\39.cho_20250918_0.jpg""}]",dcd834316c271fd8_6,2.0.0,Accessory,Other Accessory,"{""color_family"": ""Metallic""}",[],Other Accessory,"{""overall"": 1.0, ""shoulder_area"": ""Not Observable"", ""neckline"": ""Not Observable"", ""waistline"": ""Not Observable"", ""full_leg"": ""Not Observable"", ""hem"": ""Not Observable""}","[""silver rings"", ""finger rings""]",,[],g7
instagram,HYPE STREET,2025-09,2526FW,39.cho,Men,Bag,Crossbody Bag,Crescent Bag,Bag,Bag,,,[],"[""Brown""]",,5,"{""bag_type"": ""Crescent"", ""bag_size"": ""Small"", ""bag_structure"": ""Soft-Slouchy"", ""bag_orientation"": ""East-West"", ""bag_geometry"": ""Crescent"", ""bag_closure"": ""Zipper"", ""strap_style"": ""Leather"", ""bag_surface"": ""Plain"", ""carry_method"": [""Crossbody""]}",10,100,"[{""thumbUrl"": ""https://raw.githubusercontent.com/consumerfnf-eng/sns_trend_intelligence/main/thumbs/39.cho_20250918_1.jpg"", ""fullUrl"": """", ""filename"": ""39.cho_20250918_1.jpg"", ""account"": ""39.cho"", ""localPath"": ""Instagram_mlb_2526fw\\39.cho_20250918_1.jpg""}]",f0f034753744af62_3,2.0.0,Bag,Bag,"{""bag_type"": ""Crescent"", ""carry_methods"": [""Crossbody""], ""bag_size"": ""Small"", ""bag_structure"": ""Soft-Slouchy"", ""bag_orientation"": ""East-West"", ""bag_geometry"": ""Crescent"", ""bag_closure"": ""Zipper"", ""strap_style"": ""Leather"", ""color_family"": ""Brown"", ""bag_surface"": ""Plain""}",[],Crescent Bag,"{""overall"": 1.0, ""shoulder_area"": ""Not Observable"", ""neckline"": ""Not Observable"", ""waistline"": ""Not Observable"", ""full_leg"": ""Not Observable"", ""hem"": ""Not Observable""}","[""brown bag"", ""crescent shape"", ""crossbody"", ""zipper""]",,[],g4
instagram,HYPE STREET,2025-09,2526FW,39.cho,Men,ACC,,Other Accessory,Other Accessory,Other Accessory,,,[],"[""White""]",,5,{},10,100,"[{""thumbUrl"": ""https://raw.githubusercontent.com/consumerfnf-eng/sns_trend_intelligence/main/thumbs/39.cho_20250918_1.jpg"", ""fullUrl"": """", ""filename"": ""39.cho_20250918_1.jpg"", ""account"": ""39.cho"", ""localPath"": ""Instagram_mlb_2526fw\\39.cho_20250918_1.jpg""}]",f0f034753744af62_4,2.0.0,Accessory,Other Accessory,"{""color_family"": ""White""}",[],Other Accessory,"{""overall"": 1.0, ""shoulder_area"": ""Not Observable"", ""neckline"": ""Not Observable"", ""waistline"": ""Not Observable"", ""full_leg"": ""Not Observable"", ""hem"": ""Not Observable""}","[""headphones"", ""silver""]",,[],g5
instagram,HYPE STREET,2025-09,2526FW,39.cho,Men,Outer,Jacket,Hoodie,Hoodie,Hoodie,,,"[""Sweat-Fleece""]","[""Black""]",Solid,5,"{""fit"": ""Relaxed"", ""material"": ""Sweat-Fleece"", ""surface_finish"": ""Distressed"", ""pattern"": ""Solid""}",10,100,"[{""thumbUrl"": ""https://raw.githubusercontent.com/consumerfnf-eng/sns_trend_intelligence/main/thumbs/39.cho_20250918_11.jpg"", ""fullUrl"": """", ""filename"": ""39.cho_20250918_11.jpg"", ""account"": ""39.cho"", ""localPath"": ""Instagram_mlb_2526fw\\39.cho_20250918_11.jpg""}]",f31cdccb3c1c06a3_1,2.0.0,Outer,Hoodie,"{""fit_ease"": ""Relaxed"", ""material"": ""Sweat-Fleece"", ""surface_finish"": ""Distressed"", ""pattern"": ""Solid"", ""color_family"": ""Black"", ""hood"": ""Fixed""}",[],Hoodie,"{""overall"": 1.0, ""shoulder_area"": ""Visible"", ""neckline"": ""Visible"", ""waistline"": ""Visible"", ""full_leg"": ""Not Observable"", ""hem"": ""Visible""}","[""black hoodie"", ""white marks"", ""loose fit"", ""hood""]",,[],g2
instagram,HYPE STREET,2025-09,2526FW,39.cho,Men,Bag,Backpacks,Duffle Bag,Bag,Bag,,,[],"[""Orange""]",,5,"{""bag_type"": ""Duffle"", ""bag_size"": ""Medium"", ""bag_structure"": ""Semi-structured"", ""bag_orientation"": ""East-West"", ""bag_geometry"": ""Cylindrical"", ""bag_closure"": ""Zipper"", ""strap_style"": ""Leather"", ""carry_method"": [""Shoulder""]}",10,100,"[{""thumbUrl"": ""https://raw.githubusercontent.com/consumerfnf-eng/sns_trend_intelligence/main/thumbs/39.cho_20250918_11.jpg"", ""fullUrl"": """", ""filename"": ""39.cho_20250918_11.jpg"", ""account"": ""39.cho"", ""localPath"": ""Instagram_mlb_2526fw\\39.cho_20250918_11.jpg""}]",f31cdccb3c1c06a3_4,2.0.0,Bag,Bag,"{""bag_type"": ""Duffle"", ""carry_methods"": [""Shoulder""], ""bag_size"": ""Medium"", ""bag_structure"": ""Semi-structured"", ""bag_orientation"": ""East-West"", ""bag_geometry"": ""Cylindrical"", ""bag_closure"": ""Zipper"", ""strap_style"": ""Leather"", ""color_family"": ""Orange""}",[],Duffle Bag,"{""overall"": 1.0, ""shoulder_area"": ""Not Observable"", ""neckline"": ""Not Observable"", ""waistline"": ""Not Observable"", ""full_leg"": ""Not Observable"", ""hem"": ""Not Observable""}","[""orange bag"", ""shoulder bag"", ""duffle bag"", ""white trim""]",,[],g5
instagram,HYPE STREET,2025-09,2526FW,39.cho,Men,Hat,,Beanie,Beanie,Beanie,,,[],"[""Multi""]",Animal,5,"{""pattern"": ""Animal""}",10,100,"[{""thumbUrl"": ""https://raw.githubusercontent.com/consumerfnf-eng/sns_trend_intelligence/main/thumbs/39.cho_20250918_13.jpg"", ""fullUrl"": """", ""filename"": ""39.cho_20250918_13.jpg"", ""account"": ""39.cho"", ""localPath"": ""Instagram_mlb_2526fw\\39.cho_20250918_13.jpg""}]",b9f00b9cb2c16e35_0,2.0.0,Headwear,Beanie,"{""pattern"": ""Animal"", ""color_family"": ""Multi""}",[],Beanie,"{""overall"": 1.0, ""shoulder_area"": ""Not Observable"", ""neckline"": ""Not Observable"", ""waistline"": ""Not Observable"", ""full_leg"": ""Not Observable"", ""hem"": ""Not Observable""}","[""leopard print""]",,[],g1
instagram,HYPE STREET,2025-09,2526FW,39.cho,Men,ACC,,Brooch,Brooch,Brooch,,,[],"[""White""]",Graphic,5,"{""pattern"": ""Graphic""}",10,100,"[{""thumbUrl"": ""https://raw.githubusercontent.com/consumerfnf-eng/sns_trend_intelligence/main/thumbs/39.cho_20250918_13.jpg"", ""fullUrl"": """", ""filename"": ""39.cho_20250918_13.jpg"", ""account"": ""39.cho"", ""localPath"": ""Instagram_mlb_2526fw\\39.cho_20250918_13.jpg""}]",b9f00b9cb2c16e35_4,2.0.0,Accessory,Brooch,"{""pattern"": ""Graphic"", ""color_family"": ""White""}",[],Brooch,"{""overall"": 1.0, ""shoulder_area"": ""Not Observable"", ""neckline"": ""Not Observable"", ""waistline"": ""Not Observable"", ""full_leg"": ""Not Observable"", ""hem"": ""Not Observable""}","[""round pins"", ""numbers '1' and '5'"", ""face graphic""]",,[],g5
instagram,HYPE STREET,2025-09,2526FW,39.cho,Men,ACC,,Other Accessory,Other Accessory,Other Accessory,,,[],"[""Metallic""]",,5,{},10,100,"[{""thumbUrl"": ""https://raw.githubusercontent.com/consumerfnf-eng/sns_trend_intelligence/main/thumbs/39.cho_20250923_3.jpg"", ""fullUrl"": """", ""filename"": ""39.cho_20250923_3.jpg"", ""account"": ""39.cho"", ""localPath"": ""Instagram_mlb_2526fw\\39.cho_20250923_3.jpg""}]",e0833e734b790cf4_3,2.0.0,Accessory,Other Accessory,"{""color_family"": ""Metallic""}",[],Other Accessory,"{""overall"": 1.0, ""shoulder_area"": ""Not Observable"", ""neckline"": ""Not Observable"", ""waistline"": ""Not Observable"", ""full_leg"": ""Not Observable"", ""hem"": ""Not Observable""}","[""silver hoop earrings""]",,[],g4
instagram,HYPE STREET,2025-09,2526FW,39.cho,Men,ACC,,Sunglasses,Sunglasses,Sunglasses,,,[],"[""Black""]",,5,{},10,100,"[{""thumbUrl"": ""https://raw.githubusercontent.com/consumerfnf-eng/sns_trend_intelligence/main/thumbs/39.cho_20250924_0.jpg"", ""fullUrl"": """", ""filename"": ""39.cho_20250924_0.jpg"", ""account"": ""39.cho"", ""localPath"": ""Instagram_mlb_2526fw\\39.cho_20250924_0.jpg""}]",d2ce8da4a234b96d_1,2.0.0,Accessory,Sunglasses,"{""color_family"": ""Black""}",[],Sunglasses,"{""overall"": 1.0, ""shoulder_area"": ""Not Observable"", ""neckline"": ""Not Observable"", ""waistline"": ""Not Observable"", ""full_leg"": ""Not Observable"", ""hem"": ""Not Observable""}","[""black sunglasses"", ""oval frames""]",,[],g2
instagram,HYPE STREET,2025-09,2526FW,39.cho,Men,ACC,,Necklace,Necklace,Necklace,,,[],"[""Gray""]",,5,{},10,100,"[{""thumbUrl"": ""https://raw.githubusercontent.com/consumerfnf-eng/sns_trend_intelligence/main/thumbs/39.cho_20250924_0.jpg"", ""fullUrl"": """", ""filename"": ""39.cho_20250924_0.jpg"", ""account"": ""39.cho"", ""localPath"": ""Instagram_mlb_2526fw\\39.cho_20250924_0.jpg""}]",d2ce8da4a234b96d_2,2.0.0,Accessory,Necklace,"{""color_family"": ""Gray""}",[],Necklace,"{""overall"": 1.0, ""shoulder_area"": ""Not Observable"", ""neckline"": ""Visible"", ""waistline"": ""Not Observable"", ""full_leg"": ""Not Observable"", ""hem"": ""Not Observable""}","[""silver pendant"", ""chain necklace""]",,[],g3
instagram,HYPE STREET,2025-09,2526FW,39.cho,Men,Top,Tank / Bra top,Tank Top,Tank Top,Tank Top,,,"[""Suede""]","[""Brown""]",,5,"{""sleeve_length"": ""Sleeveless"", ""fit"": ""Fitted"", ""material"": ""Suede"", ""neckline"": ""U"", ""neckline_depth"": ""Standard""}",10,100,"[{""thumbUrl"": ""https://raw.githubusercontent.com/consumerfnf-eng/sns_trend_intelligence/main/thumbs/39.cho_20250924_0.jpg"", ""fullUrl"": """", ""filename"": ""39.cho_20250924_0.jpg"", ""account"": ""39.cho"", ""localPath"": ""Instagram_mlb_2526fw\\39.cho_20250924_0.jpg""}]",d2ce8da4a234b96d_3,2.0.0,Top,Tank Top,"{""sleeve_length"": ""Sleeveless"", ""fit_ease"": ""Fitted"", ""material"": ""Suede"", ""color_family"": ""Brown"", ""neckline_shape"": ""U"", ""neckline_depth"": ""Standard""}",[],Tank Top,"{""overall"": 1.0, ""shoulder_area"": ""Visible"", ""neckline"": ""Visible"", ""waistline"": ""Visible"", ""full_leg"": ""Not Observable"", ""hem"": ""Visible""}","[""brown tank top"", ""sleeveless shirt"", ""suede texture""]",,[],g4
instagram,HYPE STREET,2025-09,2526FW,39.cho,Men,Outer,Jacket,Bomber Jacket,Bomber Jacket,Bomber Jacket,,,"[""Nylon""]","[""Green""]",,5,"{""fit"": ""Relaxed"", ""material"": ""Nylon"", ""insulation"": ""None""}",10,100,"[{""thumbUrl"": ""https://raw.githubusercontent.com/consumerfnf-eng/sns_trend_intelligence/main/thumbs/39.cho_20250924_0.jpg"", ""fullUrl"": """", ""filename"": ""39.cho_20250924_0.jpg"", ""account"": ""39.cho"", ""localPath"": ""Instagram_mlb_2526fw\\39.cho_20250924_0.jpg""}]",d2ce8da4a234b96d_4,2.0.0,Outer,Bomber Jacket,"{""fit_ease"": ""Relaxed"", ""material"": ""Nylon"", ""color_family"": ""Green"", ""jacket_style"": ""Bomber"", ""insulation"": ""None"", ""hood"": ""None""}",[],Bomber Jacket,"{""overall"": 1.0, ""shoulder_area"": ""Visible"", ""neckline"": ""Not Observable"", ""waistline"": ""Visible"", ""full_leg"": ""Not Observable"", ""hem"": ""Visible""}","[""olive green jacket"", ""bomber style"", ""worn open""]",,[],g5
instagram,HYPE STREET,2025-09,2526FW,39.cho,Men,ACC,,Belt,Belt,Belt,,,"[""Leather""]","[""Brown""]",,5,"{""material"": ""Leather""}",10,100,"[{""thumbUrl"": ""https://raw.githubusercontent.com/consumerfnf-eng/sns_trend_intelligence/main/thumbs/39.cho_20250924_0.jpg"", ""fullUrl"": """", ""filename"": ""39.cho_20250924_0.jpg"", ""account"": ""39.cho"", ""localPath"": ""Instagram_mlb_2526fw\\39.cho_20250924_0.jpg""}]",d2ce8da4a234b96d_5,2.0.0,Accessory,Belt,"{""material"": ""Leather"", ""color_family"": ""Brown""}",[],Belt,"{""overall"": 1.0, ""shoulder_area"": ""Not Observable"", ""neckline"": ""Not Observable"", ""waistline"": ""Visible"", ""full_leg"": ""Not Observable"", ""hem"": ""Not Observable""}","[""brown leather belt"", ""red rose buckle""]",,[],g6
instagram,HYPE STREET,2025-09,2526FW,39.cho,Men,Bottom,Pants,Cargo Pants,Pants,Pants,,,"[""Cotton""]","[""Multi""]",Camo,5,"{""fit"": ""Wide"", ""material"": ""Cotton"", ""pattern"": ""Camo"", ""leg_shape"": ""Straight"", ""waist_rise"": ""Mid"", ""hem_length"": ""Full"", ""functional_style"": ""Cargo"", ""hem_style"": ""Open""}",10,100,"[{""thumbUrl"": ""https://raw.githubusercontent.com/consumerfnf-eng/sns_trend_intelligence/main/thumbs/39.cho_20250924_0.jpg"", ""fullUrl"": """", ""filename"": ""39.cho_20250924_0.jpg"", ""account"": ""39.cho"", ""localPath"": ""Instagram_mlb_2526fw\\39.cho_20250924_0.jpg""}]",d2ce8da4a234b96d_6,2.0.0,Bottom,Pants,"{""fit_ease"": ""Baggy"", ""material"": ""Cotton"", ""pattern"": ""Camo"", ""color_family"": ""Multi"", ""leg_width"": ""Wide"", ""leg_shape_family"": ""Straight-leg"", ""leg_shape_term"": ""Straight"", ""rise"": ""Mid"", ""bottom_length"": ""Full"", ""functional_style"": ""Cargo"", ""hem_style"": ""Open""}",[],Cargo Pants,"{""overall"": 1.0, ""shoulder_area"": ""Not Observable"", ""neckline"": ""Not Observable"", ""waistline"": ""Visible"", ""full_leg"": ""Visible"", ""hem"": ""Visible""}","[""camouflage pants"", ""baggy fit"", ""cargo pockets""]",,[],g7
